Th,01,12:37:55,11AR24,25AR18,10AR36,20PI55,06CN10,01TA17,26CN03,06SC06,13SG54,10LI19,14SC27
Fr,02,12:41:51,12AR23,07TA06,12AR38,22PI09,06CN39,01TA31,26CN03,06SC04,13SG54,10LI17,14SC24
Sa,03,12:45:48,13AR22,18TA56,14AR42,23PI23,07CN08,01TA45,26CN04,06SC02,13SG53,10LI16,14SC20
Su,04,12:49:44,14AR21,00GE52,16AR45,24PI37,07CN37,01TA59,26CN04,05SC60,13SG53,10LI14,14SC17
Mo,05,12:53:41,15AR20,12GE57,18AR50,25PI51,08CN07,02TA13,26CN05,05SC57,13SG52,10LI12,14SC14
Tu,06,12:57:37,16AR19,25GE15,20AR54,27PI05,08CN36,02TA28,26CN06,05SC55,13SG51,10LI11,14SC11
We,07,13:01:34,17AR18,07CN51,22AR59,28PI19,09CN06,02TA42,26CN07,05SC53,13SG51,10LI09,14SC08
Th,08,13:05:30,18AR17,20CN48,25AR04,29PI32,09CN35,02TA56,26CN09,05SC50,13SG50,10LI07,14SC05
Fr,09,13:09:27,19AR16,04LE09,27AR08,00AR46,10CN05,03TA10,26CN10,05SC48,13SG49,10LI06,14SC01
Sa,10,13:13:24,20AR15,17LE58,29AR11,02AR00,10CN35,03TA24,26CN11,05SC45,13SG48,10LI04,13SC58
Su,11,13:17:20,21AR14,02VI15,01TA14,03AR14,11CN05,03TA38,26CN13,05SC43,13SG48,10LI02,13SC55
Mo,12,13:21:17,22AR13,16VI56,03TA15,04AR28,11CN36,03TA53,26CN14,05SC40,13SG47,10LI01,13SC52
Tu,13,13:25:13,23AR12,01LI57,05TA14,05AR42,12CN06,04TA07,26CN16,05SC38,13SG46,09LI59,13SC49
We,14,13:29:10,24AR10,17LI09,07TA11,06AR56,12CN36,04TA21,26CN18,05SC36,13SG45,09LI57,13SC46
Th,15,13:33:06,25AR09,02SC22,09TA06,08AR10,13CN07,04TA35,26CN20,05SC33,13SG44,09LI56,13SC42
Fr,16,13:37:03,26AR08,17SC28,10TA57,09AR24,13CN38,04TA50,26CN22,05SC31,13SG43,09LI54,13SC39
Sa,17,13:40:59,27AR06,02SG17,12TA46,10AR38,14CN09,05TA04,26CN24,05SC28,13SG42,09LI53,13SC36
Su,18,13:44:56,28AR05,16SG43,14TA32,11AR51,14CN39,05TA18,26CN26,05SC26,13SG41,09LI51,13SC33
Mo,19,13:48:53,29AR04,00CP44,16TA13,13AR05,15CN10,05TA33,26CN29,05SC23,13SG40,09LI50,13SC30
Tu,20,13:52:49,00TA02,14CP17,17TA51,14AR19,15CN42,05TA47,26CN31,05SC20,13SG39,09LI48,13SC26
We,21,13:56:46,01TA01,27CP25,19TA25,15AR33,16CN13,06TA01,26CN34,05SC18,13SG38,09LI46,13SC23
Th,22,14:00:42,01TA59,10AQ11,20TA54,16AR47,16CN44,06TA16,26CN36,05SC15,13SG37,09LI45,13SC20
Fr,23,14:04:39,02TA58,22AQ37,22TA20,18AR01,17CN16,06TA30,26CN39,05SC13,13SG36,09LI43,13SC17
Sa,24,14:08:35,03TA56,04PI49,23TA40,19AR15,17CN47,06TA44,26CN42,05SC10,13SG35,09LI42,13SC14
Su,25,14:12:32,04TA55,16PI49,24TA56,20AR28,18CN19,06TA59,26CN45,05SC08,13SG34,09LI40,13SC11
Mo,26,14:16:28,05TA53,28PI42,26TA07,21AR42,18CN51,07TA13,26CN48,05SC05,13SG32,09LI39,13SC07
Tu,27,14:20:25,06TA52,10AR31,27TA13,22AR56,19CN23,07TA28,26CN51,05SC03,13SG31,09LI37,13SC04
We,28,14:24:22,07TA50,22AR19,28TA14,24AR10,19CN55,07TA42,26CN54,05SC00,13SG30,09LI36,13SC01
Th,29,14:28:18,08TA48,04TA07,29TA11,25AR24,20CN27,07TA56,26CN57,04SC57,13SG29,09LI35,12SC58
Fr,30,14:32:15,09TA47,15TA59,00GE02,26AR38,20CN59,08TA11,27CN01,04SC55,13SG27,09LI33,12SC55
