Fr,01,10:34:59,10PI21,21GE52,18PI47,19AR17,19AR36,04AQ58,28SC05,17SG46,03CP17,04SC36,22TA01
Sa,02,10:38:55,11PI21,04CN37,20PI42,19AR43,20AR20,05AQ10,28SC06,17SG47,03CP18,04SC35,21TA58
Su,03,10:42:52,12PI21,17CN48,22PI35,20AR07,21AR04,05AQ23,28SC07,17SG49,03CP19,04SC34,21TA55
Mo,04,10:46:48,13PI22,01LE27,24PI28,20AR29,21AR48,05AQ35,28SC07,17SG50,03CP20,04SC33,21TA52
Tu,05,10:50:45,14PI22,15LE36,26PI20,20AR50,22AR32,05AQ48,28SC07,17SG51,03CP21,04SC32,21TA49
We,06,10:54:42,15PI22,00VI10,28PI11,21AR08,23AR16,06AQ00,28SC07,17SG51,03CP22,04SC31,21TA46
Th,07,10:58:38,16PI22,15VI04,29PI59,21AR25,24AR00,06AQ13,28SC08,17SG52,03CP23,04SC30,21TA42
Fr,08,11:02:35,17PI22,00LI07,01AR46,21AR39,24AR44,06AQ25,28SC08,17SG53,03CP24,04SC29,21TA39
Sa,09,11:06:31,18PI22,15LI12,03AR30,21AR51,25AR28,06AQ37,28SC07,17SG54,03CP25,04SC28,21TA36
Su,10,11:10:28,19PI22,00SC07,05AR10,22AR01,26AR12,06AQ50,28SC07,17SG55,03CP26,04SC27,21TA33
Mo,11,11:14:24,20PI22,14SC47,06AR47,22AR09,26AR56,07AQ02,28SC07,17SG55,03CP27,04SC26,21TA30
Tu,12,11:18:21,21PI22,29SC07,08AR19,22AR14,27AR40,07AQ14,28SC07,17SG56,03CP28,04SC25,21TA26
We,13,11:22:17,22PI21,13SG05,09AR47,22AR17,28AR23,07AQ26,28SC06,17SG56,03CP28,04SC24,21TA23
Th,14,11:26:14,23PI21,26SG42,11AR10,22AR18,29AR07,07AQ38,28SC05,17SG57,03CP29,04SC23,21TA20
Fr,15,11:30:11,24PI21,09CP58,12AR26,22AR16,29AR51,07AQ49,28SC05,17SG57,03CP30,04SC22,21TA17
Sa,16,11:34:07,25PI21,22CP58,13AR37,22AR12,00TA34,08AQ01,28SC04,17SG58,03CP30,04SC21,21TA14
Su,17,11:38:04,26PI21,05AQ42,14AR41,22AR05,01TA18,08AQ13,28SC03,17SG58,03CP31,04SC19,21TA11
Mo,18,11:42:00,27PI20,18AQ14,15AR37,21AR56,02TA01,08AQ24,28SC02,17SG58,03CP32,04SC18,21TA07
Tu,19,11:45:57,28PI20,00PI35,16AR27,21AR44,02TA45,08AQ36,28SC01,17SG59,03CP32,04SC17,21TA04
We,20,11:49:53,29PI20,12PI47,17AR09,21AR30,03TA28,08AQ47,27SC60,17SG59,03CP33,04SC16,21TA01
Th,21,11:53:50,00AR19,24PI50,17AR43,21AR13,04TA12,08AQ59,27SC58,17SG59,03CP33,04SC14,20TA58
Fr,22,11:57:46,01AR19,06AR47,18AR09,20AR54,04TA55,09AQ10,27SC57,17SG59,03CP34,04SC13,20TA55
Sa,23,12:01:43,02AR18,18AR38,18AR27,20AR33,05TA38,09AQ21,27SC56,17SG59,03CP34,04SC12,20TA51
Su,24,12:05:40,03AR18,00TA26,18AR37,20AR09,06TA22,09AQ32,27SC54,17SG59,03CP35,04SC10,20TA48
Mo,25,12:09:36,04AR17,12TA13,18AR39,19AR44,07TA05,09AQ43,27SC52,17SG59,03CP35,04SC09,20TA45
Tu,26,12:13:33,05AR17,24TA02,18AR34,19AR16,07TA48,09AQ54,27SC50,17SG59,03CP36,04SC07,20TA42
We,27,12:17:29,06AR16,05GE57,18AR21,18AR46,08TA31,10AQ04,27SC49,17SG59,03CP36,04SC06,20TA39
Th,28,12:21:26,07AR16,18GE03,18AR02,18AR15,09TA14,10AQ15,27SC47,17SG58,03CP36,04SC05,20TA36
Fr,29,12:25:22,08AR15,00CN24,17AR35,17AR42,09TA57,10AQ26,27SC45,17SG58,03CP36,04SC03,20TA32
Sa,30,12:29:19,09AR14,13CN05,17AR04,17AR07,10TA40,10AQ36,27SC42,17SG58,03CP37,04SC02,20TA29
Su,31,12:33:15,10AR14,26CN10,16AR27,16AR32,11TA23,10AQ46,27SC40,17SG57,03CP37,04SC00,20TA26
