Su,01,20:39:18,08LE59,13TA51,08LE19,11VI57,01VI21,29AQ37,10AQ17,14TA38,22PI52,25CP13,07GE38
Mo,02,20:43:15,09LE56,25TA41,10LE24,13VI08,01VI58,29AQ30,10AQ12,14TA39,22PI51,25CP12,07GE35
Tu,03,20:47:11,10LE54,07GE29,12LE28,14VI20,02VI36,29AQ23,10AQ08,14TA40,22PI50,25CP11,07GE32
We,04,20:51:08,11LE51,19GE21,14LE31,15VI32,03VI14,29AQ16,10AQ03,14TA41,22PI49,25CP09,07GE28
Th,05,20:55:05,12LE48,01CN21,16LE33,16VI43,03VI52,29AQ09,09AQ59,14TA42,22PI48,25CP08,07GE25
Fr,06,20:59:01,13LE46,13CN34,18LE34,17VI55,04VI29,29AQ01,09AQ54,14TA43,22PI46,25CP07,07GE22
Sa,07,21:02:58,14LE43,26CN02,20LE34,19VI06,05VI07,28AQ54,09AQ50,14TA43,22PI45,25CP05,07GE19
Su,08,21:06:54,15LE41,08LE46,22LE32,20VI17,05VI45,28AQ47,09AQ46,14TA44,22PI44,25CP04,07GE16
Mo,09,21:10:51,16LE38,21LE46,24LE28,21VI29,06VI23,28AQ39,09AQ41,14TA44,22PI43,25CP03,07GE12
Tu,10,21:14:47,17LE36,05VI02,26LE23,22VI40,07VI01,28AQ32,09AQ37,14TA45,22PI41,25CP01,07GE09
We,11,21:18:44,18LE34,18VI32,28LE17,23VI51,07VI39,28AQ24,09AQ32,14TA45,22PI40,25CP00,07GE06
Th,12,21:22:40,19LE31,02LI12,00VI09,25VI03,08VI17,28AQ16,09AQ28,14TA46,22PI39,24CP59,07GE03
Fr,13,21:26:37,20LE29,16LI02,02VI00,26VI14,08VI55,28AQ09,09AQ24,14TA46,22PI37,24CP57,06GE60
Sa,14,21:30:34,21LE26,29LI59,03VI49,27VI25,09VI32,28AQ01,09AQ19,14TA47,22PI36,24CP56,06GE57
Su,15,21:34:30,22LE24,14SC00,05VI37,28VI36,10VI10,27AQ53,09AQ15,14TA47,22PI35,24CP55,06GE53
Mo,16,21:38:27,23LE22,28SC06,07VI23,29VI47,10VI48,27AQ45,09AQ11,14TA47,22PI33,24CP54,06GE50
Tu,17,21:42:23,24LE19,12SG16,09VI08,00LI58,11VI26,27AQ37,09AQ07,14TA47,22PI32,24CP53,06GE47
We,18,21:46:20,25LE17,26SG28,10VI52,02LI09,12VI05,27AQ30,09AQ02,14TA47,22PI31,24CP51,06GE44
Th,19,21:50:16,26LE15,10CP39,12VI33,03LI19,12VI43,27AQ22,08AQ58,14TA47,22PI29,24CP50,06GE41
Fr,20,21:54:13,27LE12,24CP49,14VI14,04LI30,13VI21,27AQ14,08AQ54,14TA47,22PI28,24CP49,06GE37
Sa,21,21:58:09,28LE10,08AQ52,15VI53,05LI41,13VI59,27AQ06,08AQ50,14TA47,22PI26,24CP48,06GE34
Su,22,22:02:06,29LE08,22AQ44,17VI31,06LI51,14VI37,26AQ58,08AQ46,14TA47,22PI25,24CP47,06GE31
Mo,23,22:06:03,00VI06,06PI22,19VI07,08LI02,15VI15,26AQ50,08AQ42,14TA47,22PI23,24CP46,06GE28
Tu,24,22:09:59,01VI04,19PI42,20VI42,09LI13,15VI53,26AQ42,08AQ38,14TA47,22PI22,24CP44,06GE25
We,25,22:13:56,02VI01,02AR42,22VI15,10LI23,16VI31,26AQ35,08AQ34,14TA47,22PI20,24CP43,06GE22
Th,26,22:17:52,02VI59,15AR22,23VI47,11LI33,17VI10,26AQ27,08AQ30,14TA47,22PI19,24CP42,06GE18
Fr,27,22:21:49,03VI57,27AR44,25VI18,12LI44,17VI48,26AQ19,08AQ26,14TA46,22PI17,24CP41,06GE15
Sa,28,22:25:45,04VI55,09TA50,26VI47,13LI54,18VI26,26AQ11,08AQ23,14TA46,22PI16,24CP40,06GE12
Su,29,22:29:42,05VI53,21TA46,28VI15,15LI04,19VI04,26AQ04,08AQ19,14TA45,22PI14,24CP39,06GE09
Mo,30,22:33:38,06VI51,03GE35,29VI41,16LI14,19VI43,25AQ56,08AQ15,14TA45,22PI13,24CP38,06GE06
Tu,31,22:37:35,07VI49,15GE24,01LI07,17LI24,20VI21,25AQ48,08AQ12,14TA45,22PI11,24CP37,06GE03
