DATE  SID.TIME  SUN   MOON  MERCURY  VENUS  MARS JUPITER SATURN URANUS NEPTUNE PLUTO  NODE 
Th 01 12:38:19 11AR29 26SC20 24PI29 12AR56 16GE27 23AQ14 11AQ22 09TA01 21PI25 26CP38 14GE05 

Fr 02 12:42:15 12AR28 10SG55 26PI13 14AR11 17GE03 23AQ25 11AQ27 09TA04 21PI27 26CP39 14GE02 

Sa 03 12:46:12 13AR27 25SG11 27PI57 15AR25 17GE38 23AQ37 11AQ32 09TA07 21PI30 26CP39 13GE59 

Su 04 12:50:08 14AR26 09CP07 29PI43 16AR39 18GE14 23AQ49 11AQ36 09TA10 21PI32 26CP40 13GE56 

Mo 05 12:54:05 15AR26 22CP43 01AR31 17AR54 18GE50 23AQ60 11AQ41 09TA13 21PI34 26CP41 13GE53 

Tu 06 12:58:01 16AR25 06AQ01 03AR20 19AR08 19GE26 24AQ11 11AQ45 09TA17 21PI36 26CP41 13GE50 

We 07 13:01:58 17AR24 19AQ03 05AR11 20AR23 20GE02 24AQ23 11AQ49 09TA20 21PI38 26CP42 13GE46 

Th 08 13:05:54 18AR23 01PI50 07AR02 21AR37 20GE39 24AQ34 11AQ53 09TA23 21PI40 26CP43 13GE43 

Fr 09 13:09:51 19AR22 14PI25 08AR56 22AR51 21GE15 24AQ45 11AQ57 09TA26 21PI42 26CP43 13GE40 

Sa 10 13:13:48 20AR21 26PI49 10AR51 24AR06 21GE51 24AQ56 12AQ01 09TA30 21PI44 26CP44 13GE37 

Su 11 13:17:44 21AR20 09AR03 12AR47 25AR20 22GE27 25AQ07 12AQ05 09TA33 21PI46 26CP44 13GE34 

Mo 12 13:21:41 22AR18 21AR09 14AR45 26AR35 23GE03 25AQ17 12AQ09 09TA36 21PI48 26CP45 13GE30 

Tu 13 13:25:37 23AR17 03TA06 16AR44 27AR49 23GE39 25AQ28 12AQ13 09TA40 21PI50 26CP45 13GE27 

We 14 13:29:34 24AR16 14TA58 18AR44 29AR03 24GE15 25AQ39 12AQ17 09TA43 21PI52 26CP46 13GE24 

Th 15 13:33:30 25AR15 26TA46 20AR46 00TA17 24GE52 25AQ49 12AQ20 09TA46 21PI54 26CP46 13GE21 

Fr 16 13:37:27 26AR14 08GE32 22AR49 01TA32 25GE28 25AQ60 12AQ24 09TA50 21PI56 26CP46 13GE18 

Sa 17 13:41:23 27AR12 20GE21 24AR53 02TA46 26GE04 26AQ10 12AQ27 09TA53 21PI58 26CP47 13GE15 

Su 18 13:45:20 28AR11 02CN17 26AR58 04TA00 26GE40 26AQ20 12AQ31 09TA57 22PI00 26CP47 13GE11 

Mo 19 13:49:17 29AR10 14CN23 29AR05 05TA14 27GE17 26AQ30 12AQ34 10TA00 22PI02 26CP47 13GE08 

Tu 20 13:53:13 00TA08 26CN45 01TA11 06TA28 27GE53 26AQ40 12AQ37 10TA03 22PI04 26CP48 13GE05 

We 21 13:57:10 01TA07 09LE28 03TA19 07TA43 28GE29 26AQ50 12AQ40 10TA07 22PI06 26CP48 13GE02 

Th 22 14:01:06 02TA05 22LE36 05TA27 08TA57 29GE06 26AQ59 12AQ43 10TA10 22PI08 26CP48 12GE59 

Fr 23 14:05:03 03TA04 06VI12 07TA35 10TA11 29GE42 27AQ09 12AQ46 10TA14 22PI10 26CP48 12GE56 

Sa 24 14:08:59 04TA02 20VI17 09TA43 11TA25 00CN18 27AQ18 12AQ49 10TA17 22PI11 26CP48 12GE52 

Su 25 14:12:56 05TA01 04LI49 11TA50 12TA39 00CN55 27AQ28 12AQ52 10TA21 22PI13 26CP48 12GE49 

Mo 26 14:16:52 05TA59 19LI43 13TA57 13TA53 01CN31 27AQ37 12AQ55 10TA24 22PI15 26CP48 12GE46 

Tu 27 14:20:49 06TA58 04SC51 16TA02 15TA07 02CN08 27AQ46 12AQ57 10TA28 22PI17 26CP48 12GE43 

We 28 14:24:46 07TA56 20SC04 18TA06 16TA21 02CN44 27AQ55 12AQ60 10TA31 22PI19 26CP48 12GE40 

Th 29 14:28:42 08TA54 05SG12 20TA09 17TA35 03CN20 28AQ04 13AQ02 10TA34 22PI20 26CP48 12GE36 

Fr 30 14:32:39 09TA53 20SG05 22TA10 18TA49 03CN57 28AQ13 13AQ04 10TA38 22PI22 26CP48 12GE33 
