Fr,01,00:39:48,08LI02,29CN32,24LI37,22SC51,10LI24,22AQ49,06AQ58,14TA06,21PI20,24CP19,04GE24
Sa,02,00:43:45,09LI01,12LE10,24LI06,23SC57,11LI03,22AQ46,06AQ57,14TA04,21PI19,24CP19,04GE21
Su,03,00:47:41,10LI00,25LE12,23LI27,25SC04,11LI42,22AQ43,06AQ56,14TA02,21PI17,24CP19,04GE18
Mo,04,00:51:38,10LI59,08VI39,22LI40,26SC10,12LI22,22AQ40,06AQ55,14TA00,21PI16,24CP19,04GE14
Tu,05,00:55:34,11LI58,22VI31,21LI47,27SC17,13LI01,22AQ37,06AQ55,13TA59,21PI14,24CP19,04GE11
We,06,00:59:31,12LI57,06LI44,20LI47,28SC23,13LI40,22AQ35,06AQ54,13TA57,21PI13,24CP19,04GE08
Th,07,01:03:28,13LI57,21LI14,19LI43,29SC29,14LI20,22AQ32,06AQ54,13TA54,21PI11,24CP19,04GE05
Fr,08,01:07:24,14LI56,05SC53,18LI34,00SG35,14LI59,22AQ30,06AQ53,13TA52,21PI10,24CP19,04GE02
Sa,09,01:11:21,15LI55,20SC35,17LI24,01SG40,15LI39,22AQ28,06AQ53,13TA50,21PI08,24CP19,03GE59
Su,10,01:15:17,16LI54,05SG13,16LI13,02SG46,16LI18,22AQ27,06AQ53,13TA48,21PI07,24CP19,03GE55
Mo,11,01:19:14,17LI54,19SG42,15LI04,03SG51,16LI58,22AQ25,06AQ53,13TA46,21PI05,24CP19,03GE52
Tu,12,01:23:10,18LI53,03CP59,13LI58,04SG56,17LI37,22AQ24,06AQ53,13TA44,21PI04,24CP19,03GE49
We,13,01:27:07,19LI52,18CP01,12LI58,06SG01,18LI17,22AQ22,06AQ53,13TA42,21PI03,24CP19,03GE46
Th,14,01:31:03,20LI52,01AQ49,12LI05,07SG05,18LI57,22AQ22,06AQ53,13TA40,21PI01,24CP20,03GE43
Fr,15,01:34:60,21LI51,15AQ22,11LI21,08SG10,19LI36,22AQ21,06AQ54,13TA37,20PI60,24CP20,03GE40
Sa,16,01:38:57,22LI51,28AQ41,10LI46,09SG14,20LI16,22AQ20,06AQ54,13TA35,20PI58,24CP20,03GE36
Su,17,01:42:53,23LI50,11PI47,10LI23,10SG18,20LI56,22AQ20,06AQ55,13TA33,20PI57,24CP20,03GE33
Mo,18,01:46:50,24LI50,24PI39,10LI10,11SG21,21LI36,22AQ20,06AQ55,13TA30,20PI56,24CP21,03GE30
Tu,19,01:50:46,25LI49,07AR19,10LI08,12SG25,22LI15,22AQ20,06AQ56,13TA28,20PI54,24CP21,03GE27
We,20,01:54:43,26LI49,19AR46,10LI18,13SG28,22LI55,22AQ20,06AQ57,13TA26,20PI53,24CP21,03GE24
Th,21,01:58:39,27LI49,02TA02,10LI38,14SG31,23LI35,22AQ20,06AQ58,13TA23,20PI52,24CP22,03GE20
Fr,22,02:02:36,28LI48,14TA07,11LI08,15SG33,24LI15,22AQ21,06AQ59,13TA21,20PI51,24CP22,03GE17
Sa,23,02:06:32,29LI48,26TA04,11LI47,16SG36,24LI55,22AQ22,06AQ60,13TA19,20PI50,24CP23,03GE14
Su,24,02:10:29,00SC48,07GE54,12LI34,17SG38,25LI35,22AQ23,07AQ01,13TA16,20PI48,24CP23,03GE11
Mo,25,02:14:26,01SC47,19GE41,13LI30,18SG39,26LI15,22AQ24,07AQ03,13TA14,20PI47,24CP24,03GE08
Tu,26,02:18:22,02SC47,01CN28,14LI32,19SG41,26LI55,22AQ26,07AQ04,13TA12,20PI46,24CP24,03GE05
We,27,02:22:19,03SC47,13CN20,15LI40,20SG42,27LI35,22AQ27,07AQ05,13TA09,20PI45,24CP25,03GE01
Th,28,02:26:15,04SC47,25CN22,16LI53,21SG42,28LI15,22AQ29,07AQ07,13TA07,20PI44,24CP25,02GE58
Fr,29,02:30:12,05SC47,07LE38,18LI10,22SG43,28LI56,22AQ31,07AQ09,13TA04,20PI43,24CP26,02GE55
Sa,30,02:34:08,06SC47,20LE13,19LI32,23SG43,29LI36,22AQ34,07AQ11,13TA02,20PI42,24CP27,02GE52
Su,31,02:38:05,07SC47,03VI11,20LI56,24SG42,00SC16,22AQ36,07AQ13,12TA59,20PI41,24CP27,02GE49
