Mo,01,20:38:21,08LE45,15VI19,24LE18,16CN52,18TA04,08AR42,22AQ55,18TA41,25PI09,27CP04,18TA18
Tu,02,20:42:18,09LE43,27VI50,26LE04,18CN05,18TA43,08AR41,22AQ50,18TA43,25PI08,27CP03,18TA15
We,03,20:46:14,10LE40,10LI34,27LE48,19CN18,19TA21,08AR40,22AQ46,18TA44,25PI07,27CP01,18TA12
Th,04,20:50:11,11LE38,23LI31,29LE30,20CN31,19TA60,08AR39,22AQ42,18TA45,25PI06,27CP00,18TA09
Fr,05,20:54:07,12LE35,06SC46,01VI11,21CN44,20TA38,08AR38,22AQ37,18TA46,25PI05,26CP59,18TA06
Sa,06,20:58:04,13LE33,20SC21,02VI51,22CN57,21TA16,08AR36,22AQ33,18TA47,25PI04,26CP57,18TA02
Su,07,21:02:00,14LE30,04SG18,04VI28,24CN11,21TA54,08AR35,22AQ29,18TA47,25PI03,26CP56,17TA59
Mo,08,21:05:57,15LE28,18SG37,06VI04,25CN24,22TA31,08AR33,22AQ24,18TA48,25PI02,26CP55,17TA56
Tu,09,21:09:53,16LE25,03CP17,07VI39,26CN37,23TA09,08AR31,22AQ20,18TA49,25PI00,26CP53,17TA53
We,10,21:13:50,17LE23,18CP13,09VI11,27CN50,23TA46,08AR28,22AQ15,18TA50,24PI59,26CP52,17TA50
Th,11,21:17:47,18LE20,03AQ17,10VI43,29CN03,24TA23,08AR26,22AQ11,18TA51,24PI58,26CP51,17TA46
Fr,12,21:21:43,19LE18,18AQ21,12VI12,00LE17,24TA60,08AR23,22AQ06,18TA51,24PI57,26CP49,17TA43
Sa,13,21:25:40,20LE15,03PI14,13VI40,01LE30,25TA37,08AR20,22AQ02,18TA52,24PI55,26CP48,17TA40
Su,14,21:29:36,21LE13,17PI47,15VI06,02LE43,26TA13,08AR17,21AQ57,18TA52,24PI54,26CP47,17TA37
Mo,15,21:33:33,22LE10,01AR54,16VI31,03LE57,26TA50,08AR14,21AQ53,18TA53,24PI53,26CP46,17TA34
Tu,16,21:37:29,23LE08,15AR32,17VI53,05LE10,27TA26,08AR11,21AQ48,18TA53,24PI51,26CP44,17TA31
We,17,21:41:26,24LE06,28AR43,19VI15,06LE24,28TA02,08AR07,21AQ44,18TA54,24PI50,26CP43,17TA27
Th,18,21:45:22,25LE03,11TA28,20VI34,07LE37,28TA37,08AR03,21AQ39,18TA54,24PI49,26CP42,17TA24
Fr,19,21:49:19,26LE01,23TA51,21VI51,08LE51,29TA13,07AR59,21AQ35,18TA54,24PI47,26CP41,17TA21
Sa,20,21:53:16,26LE59,05GE58,23VI07,10LE05,29TA48,07AR55,21AQ30,18TA55,24PI46,26CP39,17TA18
Su,21,21:57:12,27LE56,17GE55,24VI21,11LE18,00GE23,07AR51,21AQ26,18TA55,24PI45,26CP38,17TA15
Mo,22,22:01:09,28LE54,29GE45,25VI32,12LE32,00GE58,07AR46,21AQ21,18TA55,24PI43,26CP37,17TA12
Tu,23,22:05:05,29LE52,11CN35,26VI42,13LE46,01GE33,07AR42,21AQ17,18TA55,24PI42,26CP36,17TA08
We,24,22:09:02,00VI50,23CN27,27VI49,14LE59,02GE07,07AR37,21AQ13,18TA55,24PI40,26CP35,17TA05
Th,25,22:12:58,01VI48,05LE25,28VI54,16LE13,02GE42,07AR32,21AQ08,18TA55,24PI39,26CP34,17TA02
Fr,26,22:16:55,02VI46,17LE31,29VI57,17LE27,03GE16,07AR27,21AQ04,18TA55,24PI37,26CP33,16TA59
Sa,27,22:20:51,03VI44,29LE47,00LI58,18LE41,03GE49,07AR21,20AQ59,18TA55,24PI36,26CP31,16TA56
Su,28,22:24:48,04VI42,12VI13,01LI55,19LE55,04GE23,07AR16,20AQ55,18TA55,24PI34,26CP30,16TA52
Mo,29,22:28:45,05VI39,24VI49,02LI50,21LE09,04GE56,07AR10,20AQ51,18TA55,24PI33,26CP29,16TA49
Tu,30,22:32:41,06VI37,07LI36,03LI42,22LE23,05GE29,07AR05,20AQ47,18TA54,24PI31,26CP28,16TA46
We,31,22:36:38,07VI35,20LI35,04LI31,23LE37,06GE01,06AR59,20AQ42,18TA54,24PI29,26CP27,16TA43
