Sa,01,00:38:51,07LI48,11SG31,24VI22,02LI05,20GE05,03AR08,18AQ60,18TA22,23PI39,26CP08,15TA04
Su,02,00:42:47,08LI47,25SG31,24VI13,03LI20,20GE25,03AR00,18AQ58,18TA20,23PI37,26CP08,15TA01
Mo,03,00:46:44,09LI46,09CP38,24VI14,04LI35,20GE45,02AR52,18AQ56,18TA18,23PI36,26CP07,14TA58
Tu,04,00:50:41,10LI45,23CP51,24VI26,05LI50,21GE04,02AR44,18AQ54,18TA16,23PI34,26CP07,14TA55
We,05,00:54:37,11LI44,08AQ07,24VI47,07LI05,21GE23,02AR36,18AQ52,18TA15,23PI33,26CP07,14TA52
Th,06,00:58:34,12LI43,22AQ24,25VI19,08LI20,21GE41,02AR29,18AQ50,18TA13,23PI31,26CP07,14TA49
Fr,07,01:02:30,13LI43,06PI38,25VI59,09LI35,21GE59,02AR21,18AQ48,18TA11,23PI30,26CP07,14TA45
Sa,08,01:06:27,14LI42,20PI44,26VI49,10LI49,22GE16,02AR13,18AQ47,18TA09,23PI28,26CP07,14TA42
Su,09,01:10:23,15LI41,04AR38,27VI46,12LI04,22GE32,02AR06,18AQ45,18TA07,23PI27,26CP07,14TA39
Mo,10,01:14:20,16LI40,18AR16,28VI50,13LI19,22GE48,01AR58,18AQ44,18TA05,23PI25,26CP07,14TA36
Tu,11,01:18:16,17LI39,01TA36,00LI00,14LI34,23GE03,01AR51,18AQ43,18TA03,23PI24,26CP07,14TA33
We,12,01:22:13,18LI39,14TA37,01LI16,15LI49,23GE18,01AR43,18AQ42,18TA01,23PI22,26CP07,14TA29
Th,13,01:26:10,19LI38,27TA19,02LI37,17LI04,23GE32,01AR36,18AQ41,17TA59,23PI21,26CP07,14TA26
Fr,14,01:30:06,20LI37,09GE43,04LI02,18LI19,23GE45,01AR29,18AQ40,17TA57,23PI19,26CP07,14TA23
Sa,15,01:34:03,21LI37,21GE53,05LI31,19LI34,23GE58,01AR22,18AQ39,17TA55,23PI18,26CP07,14TA20
Su,16,01:37:59,22LI36,03CN53,07LI03,20LI50,24GE10,01AR15,18AQ38,17TA52,23PI16,26CP08,14TA17
Mo,17,01:41:56,23LI36,15CN46,08LI37,22LI05,24GE21,01AR08,18AQ37,17TA50,23PI15,26CP08,14TA14
Tu,18,01:45:52,24LI35,27CN38,10LI13,23LI20,24GE32,01AR01,18AQ37,17TA48,23PI14,26CP08,14TA10
We,19,01:49:49,25LI35,09LE34,11LI51,24LI35,24GE41,00AR54,18AQ36,17TA46,23PI12,26CP08,14TA07
Th,20,01:53:45,26LI35,21LE37,13LI30,25LI50,24GE50,00AR48,18AQ36,17TA44,23PI11,26CP09,14TA04
Fr,21,01:57:42,27LI34,03VI53,15LI09,27LI05,24GE59,00AR42,18AQ36,17TA41,23PI10,26CP09,14TA01
Sa,22,02:01:39,28LI34,16VI25,16LI50,28LI20,25GE06,00AR35,18AQ35,17TA39,23PI08,26CP09,13TA58
Su,23,02:05:35,29LI34,29VI14,18LI31,29LI35,25GE13,00AR29,18AQ35,17TA37,23PI07,26CP10,13TA54
Mo,24,02:09:32,00SC33,12LI22,20LI12,00SC50,25GE19,00AR23,18AQ35,17TA34,23PI06,26CP10,13TA51
Tu,25,02:13:28,01SC33,25LI50,21LI54,02SC06,25GE24,00AR18,18AQ36,17TA32,23PI05,26CP11,13TA48
We,26,02:17:25,02SC33,09SC35,23LI35,03SC21,25GE28,00AR12,18AQ36,17TA30,23PI03,26CP11,13TA45
Th,27,02:21:21,03SC33,23SC34,25LI17,04SC36,25GE31,00AR06,18AQ36,17TA27,23PI02,26CP12,13TA42
Fr,28,02:25:18,04SC33,07SG44,26LI58,05SC51,25GE34,00AR01,18AQ37,17TA25,23PI01,26CP12,13TA39
Sa,29,02:29:14,05SC33,22SG01,28LI39,07SC06,25GE36,29PI56,18AQ37,17TA22,23PI00,26CP13,13TA35
Su,30,02:33:11,06SC32,06CP21,00SC19,08SC22,25GE37,29PI51,18AQ38,17TA20,22PI59,26CP13,13TA32
Mo,31,02:37:08,07SC32,20CP39,01SC60,09SC37,25GE37,29PI46,18AQ39,17TA18,22PI58,26CP14,13TA29
